clicked_news	category	subcategory	title
N2109	nyheter	trondheim	Russen skulle ha matte, fikk heller stirre på sola
N2110	pluss	nyheter	Disse kommunene kan bli tvunget til å slå seg sammen
N2111	nyheter	trondheim	Stjerneskudd over Trondheim
N2112	nyheter	okonomi	Salmar-sjefen kjøpte Trondheims dyreste leilighet
N2113	nyheter	trondheim	Planla å få elever til å studere solformørkelse med solbriller
N2114	No category	No subcategory	Lar du hunden slikke deg i fjeset?
N2115	nyheter	trondheim	Utsolgt for briller
N2116	nyheter	trondheim	Klingenberg - en Søgade-grosserer
N2117	nyheter	sortrondelag	Trodde han skulle møte Lisa (14) - møtte voksen mann. Nå er han frifunnet
N2118	nyheter	moreromsdal	Savnet mann funnet i Surnadalsfjorden
N2119	nyheter	okonomi	Dahls-øl blir billigere
N2120	No category	No subcategory	«Det er bare ett sete igjen til denne prisen»
N2121	nyheter	trondheim	- Å lage ribbe er som å bevege seg i et minefelt
N2122	nyheter	kuriosa	Han har Trøndelags beste latter
N2123	100sport	fotball	Sørloth ville ha sagt nei om Rosenborg kom på banen i dag
N2124	nyheter	trondheim	Alene med 90 pasienter
N2125	No category	No subcategory	Minneord: Håkon Margido Elnan Sundaune
N2126	No category	No subcategory	Chand lager sang til sin nyfødte datter
N2127	No category	No subcategory	Varsler mer kraftig nedbør i Trøndelag fra onsdag
N2128	100sport	fotball	Tidligere Tromsø-keeper tvinges til å legge opp etter bisarr kjøkkenskade
N2129	No category	No subcategory	Minneord: Ingebjørg Romulslie Johansen
N2130	No category	No subcategory	Så viktige er bevegelsene fra babyen i magen
N2131	nyheter	nordtrondelag	Innstilte båtavganger på grunn av sterk vind
N2132	nyheter	trondheim	Herberge for de minste
N2133	nyheter	trondheim	Savnet mann kom til rette
N2134	nyheter	okonomi	Disse tjente mest i Trondheim i fjor
N2135	nyheter	trondheim	- Vet at det kan bli røffe forhold
N2136	nyheter	trondheim	David Bowie-astronaut til Technoport
N2137	nyheter	trondheim	Bil snurret rundt på Øysand - tok med seg busskur
N2138	kultur	musikk	- Jeg var døden nær
N2139	No category	No subcategory	Åge Aleksandersen er strålende fornøyd med «Levva livet»
N2140	pluss	nyheter	Skulle på fest - ble brannhelter
N2141	No category	No subcategory	- Vi ser nybakte mødre som ikke får med seg signaler på sult
N2142	nyheter	sortrondelag	- Uaktuelt å snakke med Oppdal nå
N2143	nyheter	trondheim	Nidarosdomen mangler stein
N2144	nyheter	sortrondelag	«Cash» sitt dramatiske døgn endte på regjeringsseminar
N2145	nyheter	trondheim	Hetser navngitte personer i russelåter
N2146	meninger	ordetfritt	For meg var det en stor utfordring å tilpasse meg videregående skole
N2147	No category	No subcategory	Chand har aldri glemt ordene fra Snåsamannen
N2148	pluss	magasin	Ti år siden alt dette forsvant
N2149	No category	No subcategory	- Dette er ikke bilder som er ment for Facebook
N2150	nyheter	trondheim	Soppangrep på Dragvoll
N2151	nyheter	okonomi	Rema tar kontroll over kyllingen fra egg til filet
N2152	nyheter	trondheim	Superstipend til NTNU-forsker
N2153	No category	No subcategory	Minneord: Haakon Sørbye
N2154	nyheter	nordtrondelag	Barnevernsleder fratrer sin stilling
N2155	nyheter	sortrondelag	- Det har roet seg på veiene nå
N2156	No category	No subcategory	Barnevernet sliter med bekymringsmeldingene
N2157	100sport	fotball	Liverpool var på vei mot full pott. Så ødela de alt for seg selv.
N2158	nyheter	trondheim	Slik gikk det da elbilene måtte betale p-avgift
N2159	nyheter	nordtrondelag	Fikk bot for tilhengerkollisjon med vogntog
N2160	No category	No subcategory	Nå starter innspillingen av Anno i Trondheim
N2161	pluss	nyheter	Victor er spansk skiturist i Bymarka: - I Spania er det altfor varmt
N2162	nyheter	trondheim	Arkitekt i tredje generasjon
N2163	No category	No subcategory	Minneord: Nina Berg
N2164	No category	No subcategory	Når han og hun er uenige om antall barn
N2165	nyheter	okonomi	Vil at politi og brannmenn skal jobbe lenger
N2166	nyheter	trondheim	Gutt (16) tilsto ran med startpistol av 14-åring på Tiller
N2167	nyheter	okonomi	Nær 3000 strømkunder skal få lavere nettleie
N2168	nyheter	sortrondelag	Svein Børge ble far mens han lå i koma etter brannen
N2169	nyheter	innenriks	Arbeiderpartiet går imot verneplikt for jenter
N2170	nyheter	innenriks	LSD-forskere: – Har ikke misbrukt NTNU-navnet
N2171	nyheter	sortrondelag	Slungård (50) skal bli mor igjen
N2172	100sport	fotball	Klopp om rivalen: - En fantastisk og innflytelsesrik manager
N2173	nyheter	okonomi	- Vi føler at Ranheim er kolonisert
N2174	No category	No subcategory	«Oldefarnavn» passer inn i navnetrendene nå
N2175	No category	No subcategory	Pappabarselgruppe: Dette gjør vi annerledes enn mødrene
N2176	nyheter	sortrondelag	Kjøpte tomta for 350 000, selger drømmehuset for nesten åtte mill.
N2177	pluss	magasin	Slik så Værnes ut for 35 år siden
N2178	pluss	nyheter	- Folk gir kanskje opp for lett i dag
N2179	No category	No subcategory	- Er litt redd for at det blir ensomt
N2180	No category	No subcategory	Sovepose i dun på godt og vondt
N2181	nyheter	sortrondelag	Røkkes fyrverkeri vakte oppsikt i Oppdal
N2182	nyheter	trondheim	Avlyste barnefyrverkeri og vardetenning
N2183	No category	No subcategory	Håper på konkurranse mellom el- og hydrogenbiler
N2184	nyheter	trondheim	Her er årets russeknuter
N2185	nyheter	trondheim	Selger dobbelt så mange slukkesprayer i år
N2186	No category	No subcategory	Flakk ferjekai
N2187	No category	No subcategory	Leonard Cohens liv i bilder
N2188	pluss	nyheter	Bruken av dette treslaget vekker oppmerksomhet over hele landet
N2189	nyheter	nordtrondelag	Fikk sleng - havnet i et tre
N2190	No category	No subcategory	- Jeg husker jeg tenkte, er alt ødelagt nå?
N2191	No category	No subcategory	Verdenskjent ryddeguru: Rydd én gang, og du trenger aldri rydde igjen
N2192	nyheter	innenriks	Lånekassen setter opp rentene
N2193	nyheter	trondheim	Barnehage skal ha sett hunden Bowie i Bymarka
N2194	No category	No subcategory	Dette bør du absolutt ikke fyre med i peisen
N2195	nyheter	trondheim	Ble frastjålet verdisakene mens han ble operert
N2196	pluss	kultur	Truls fra Trondheim solgte bilde for 110 millioner kroner
N2197	nyheter	okonomi	Her er byggeprosjektene i og rundt Trondheim
N2198	nyheter	sortrondelag	Døde etter slåsskamp
N2199	nyheter	okonomi	Har solgt eiendom for 7,5 milliarder i Trondheims-området
N2200	nyheter	trondheim	Prestens sønn sang jula inn i Byåsen kirke
N2201	No category	No subcategory	Slik så det ut før: - Folk sa til oss at vi måtte ikke finne på å kjøpe gården
N2202	nyheter	okonomi	Dette er de rikeste kvinnene i Midt-Norge
N2203	No category	No subcategory	Dette regnestykket over flyttekostnader kan gi deg bakoversveis
N2204	No category	No subcategory	Ola Borten Moe og Ivar Vigdenes påstår at det foregår en avkristning av Norge som rektorer, politikere, ateister og humanetikere står bak?Er det sant?
N2205	nyheter	trondheim	220 nye studentboliger i Trondheim
N2206	nyheter	okonomi	Slutt for Domus Interiør hos City Syd
N2207	100sport	sjakk	Nettsted peker ut Carlsens aller største svakhet. Norske eksperter er uenige.
N2208	pluss	okonomi	- Fast ansatte er et konkurransefortrinn
N2209	nyheter	innenriks	Rettssaken mot Jensen og Cappelen for åpne dører
N2210	pluss	nyheter	- Dette er ikke Senterpartiets olje- og gasspolitikk
N2211	nyheter	trondheim	Her har de fjernet mer enn 1700 steiner fra Nidarosdomen
N2212	pluss	kultur	Vi har kåret årets beste juleøl
N2213	No category	No subcategory	- Denne boka blir den siste jeg skriver
N2214	pluss	nyheter	Olav har fjernet begge nyrene - nå renser han blodet sitt i stua
N2215	pluss	magasin	Ny serie: Slik så Trondheim ut på 1800-tallet
N2216	nyheter	trondheim	Her slutter han å gråte
N2217	nyheter	innenriks	Kulturministerens julehilsen provoserer
N2218	nyheter	nordtrondelag	La ut en noe spesiell gi bort-annonse på finn.no
N2219	No category	No subcategory	Elbileiere vil ikke bytte til bensin eller diesel
N2220	100sport	vintersport	Northug gjør alt han kan for å finne VM-formen – besøkte Snåsamannen
N2221	nyheter	trondheim	- Dette er homsegraffiti på Nidarosdomen fra 1200-tallet
N2222	meninger	kronikker	Innovasjon fra medarbeidere
N2223	meninger	ordetfritt	Jeg er kommunens eldreomsorg. Alt du hører er sant. Hver kveld hører jeg gråt i korridorene
N2224	nyheter	okonomi	- Bra Marvin fant skatten...
N2225	No category	No subcategory	Han er årsaken til Googles mest søkte ord i Norge i år
N2226	nyheter	okonomi	Veidekke kjøper Reinertsen Entreprenør
N2227	meninger	ordetfritt	En rullatordames søte hevn over sykkelbølle ved Lade kirke
N2228	100sport	vintersport	Sjefen må bremse de norske Tour-favorittene
N2229	No category	No subcategory	Nå kan du bli med i Anno
N2230	nyheter	okonomi	Slik sjekker du skatten til naboen
N2231	nyheter	trondheim	Krever støyskjerm
N2232	pluss	magasin	Bli med pensjonistene som driver sagbruk på gamlemåten
N2233	nyheter	trondheim	Blomsterdekoratør og kjøkkensjef overrasket over skilsmisse
N2234	No category	No subcategory	Her er verdens ti verste biler
N2235	pluss	nyheter	«Ei helg var en 18-åring nattevakt alene for ti beboere»
N2236	nyheter	utenriks	2016 ble et dystert drapsår i USA
N2237	pluss	magasin	Så mye har Trondheim forandret seg
N2238	No category	No subcategory	Tilbyr Tesla Model S med kortere rekkevidde
N2239	nyheter	politikk	Her er åtte ting du trenger å vite om budsjettenigheten
N2240	nyheter	okonomi	Ny toppsjef i Trønderenergi
N2241	nyheter	okonomi	Unngikk oppsigelser etter å ha fått storkontrakt
N2242	kultur	musikk	Amish 82 er «Ukas Urørt»
N2243	No category	No subcategory	Minneord: Martin Sætherhaug
N2244	nyheter	okonomi	Orkla Gjestebolig til salgs
N2245	nyheter	nordtrondelag	Firebarnsfar fra Nord-Trøndelag fengslet etter overgrep mot barn og deling av overgrepsbilder
N2246	nyheter	trondheim	Trondheim eller Trondhjem?
N2247	nyheter	trondheim	Se Vidars elleville feiring av Northugs oppløp
N2248	kultur	spill	Når kraften vakler
N2249	pluss	magasin	Se hva som var hipt og kult for 50 år siden
N2250	nyheter	sortrondelag	- Svært trist at antallet trafikkdrepte igjen har økt
N2251	No category	No subcategory	Norges eneste eggautomat
N2252	nyheter	trondheim	NTNU-studenter med megahit på YouTube
N2253	nyheter	innenriks	Lærer siktet for seksuell adferd mot elever
N2254	nyheter	sortrondelag	Mistenker at siktede kan ha gravd ned mer sprengstoff
N2255	No category	No subcategory	15-åring vant over to millioner i drone-konkurranse
N2256	nyheter	trondheim	Pågrepet i Trondheim etter stort beslag av «partydop»
N2257	nyheter	trondheim	Trøndersk vinteridyll til filmfestival i USA - Da jeg lagde den fikk jeg frysninger.
N2258	forbruker	hjem	Rema-Reitans luksushjem
N2259	nyheter	sortrondelag	- Det står biler i grøfta over alt
N2260	pluss	kultur	Kokt kujur til middag
N2261	No category	No subcategory	Nytt på Netflix, HBO og Viaplay
N2262	nyheter	trondheim	- Denne gangen skal jeg klare det
N2263	100sport	sprek	Stor oversikt: Dette er skiekspertens beste teknikktips
N2264	nyheter	innsyn	Til Sundsvall???!
N2265	nyheter	trondheim	Hva vet du egentlig om nano?
N2266	nyheter	nordtrondelag	Jord og gjørme i veibanen på E14 ved Flornes
N2267	nyheter	trondheim	Stadsingeniør Dahls gate
N2268	pluss	nyheter	Drosjekonkurrenter slår seg sammen
N2269	100sport	sjakk	Sjakkstjerne ble satt ut av Carlsen: - Det var bisart
N2270	nyheter	moreromsdal	Anmeldt voldtekt på Nordmøre etterforskes
N2271	pluss	meninger	Her er «Kripos» for fredet bebyggelse
N2272	nyheter	okonomi	Blir ny sjef for Danske Bank i Norge
N2273	nyheter	trondheim	Timevis i kø hos legevakta
N2274	No category	No subcategory	Med kreative grep har Øystein fått et ganske så unikt hjem
N2275	nyheter	okonomi	Nytt storlager på Sandmoen
N2276	nyheter	okonomi	Hun skal lede omstridt sykehusutbygging
N2277	No category	No subcategory	- Det er fullt mulig å blande norsk og samisk i en tale
N2278	nyheter	okonomi	Selger Adressa-bygget
N2279	nyheter	trondheim	Røyk på brannstedet på Heimdal
N2280	pluss	magasin	Da Hårek inntok badestranda på Øysand
N2281	nyheter	adressa noogda	Adressa-glimt fra 1976
N2282	kultur	vin	Musar 1974 er utsolgt!
N2283	nyheter	trondheim	- Helt ufattelig at det går an å behandle en ny bil på denne måten
N2284	No category	No subcategory	Måtte ut med 400 kroner for to kilo overvekt
N2285	No category	No subcategory	Slik ble Steinmeyer-orgelet montert
N2286	nyheter	nordtrondelag	- Det blir firefelts motorvei fra Trondheim til Stjørdal
N2287	nyheter	trondheim	Slik var Nordre-brannen minutt for minutt
N2288	nyheter	trondheim	Ønsker samisk barnehage i Trondheim
N2289	nyheter	trondheim	Innbrudd på Storm kjøpesenter på Tiller
N2290	kultur	tv	Havnet i grøfta med TV-team i bilen
N2291	No category	No subcategory	Hørt om pingvin- eller wc-dagen?
N2292	nyheter	trondheim	Tyver kjører rundt i stjålet kjøreskolebil - politiet vil ha tips
N2293	No category	No subcategory	Nytt medlem i Motorpsycho
N2294	nyheter	nordtrondelag	- Folk vil ha hund, men har ikke tid
N2295	No category	No subcategory	Åsheim skole refses av fylkesmannen
N2297	No category	No subcategory	Tre populære nykommere
N2298	nyheter	nordtrondelag	Ingen dyr kom til skade i brann
N2299	No category	No subcategory	- Slutter leken før noe blir feil
N2300	nyheter	okonomi	De åpner en ny restaurant på Solsiden
N2301	pluss	kultur	Kjære skuespillere forlater Trøndelag Teater
N2302	sport	langrenn	Her er Petters nye kjæreste
N2303	kultur	musikk	Kapstad ny trommis i Motorpsycho
N2304	pluss	okonomi	1881 brøt med siktede ledere i Nummeropplysninga
N2305	nyheter	trondheim	Smadret garasjeport med tilhengeren full av felger
N2306	nyheter	trondheim	Her er den nye biskopen i Nidaros
N2307	nyheter	trondheim	Sykler 2000 kilometer på denne
N2308	No category	No subcategory	Se hvilke filmer og serier som ble lagt til på Netflix mens du feiret nyttår
N2309	No category	No subcategory	Adresseavisens beste bilder fra 2016
N2310	pluss	nyheter	Elbiler bryter grensen for p-tid
N2311	pluss	magasin	Historiske trondheimsbilder: Her koser de seg på byen
N2312	nyheter	trondheim	- Vi ønsker ikke å gi bøter
N2314	nyheter	sortrondelag	22 bilister på Flakk fikk parkeringsbøter
N2315	nyheter	sortrondelag	Nå vil de ta betalt for parkering her
N2316	No category	No subcategory	Disse elleve tingene mener ekspertene at «alle» nordmenn har i hjemmet sitt
N2317	No category	No subcategory	Røros slettet kulderekord fra 1913
N2318	No category	No subcategory	Tre grøtsvidde gryter: Hvilken vaskemetode fungerer best?
N2319	No category	No subcategory	Kjersti fikk bygge midt i strandsonen
N2320	No category	No subcategory	- Jeg var helt borte på Paracet og Voltaren
N2321	nyheter	nordtrondelag	- Jeg møtte total arroganse i skranken til Norwegian
N2322	nyheter	okonomi	- Det er flere teorier rundt hvorfor det er blitt slik
N2323	nyheter	trondheim	Her er Ritas nye rådgiver
N2324	No category	No subcategory	Nattlige vandringer ga gjev fotopris
N2325	nyheter	innenriks	- Veldig kraftig meteor
N2326	nyheter	trondheim	Fant muren til kongsgården
N2327	nyheter	okonomi	- Helt greit hvis bensinprisen blir 19-20 kroner
N2328	nyheter	utenriks	Ni nye fotobokser på E14 skal bremse nordmenn
N2329	No category	No subcategory	-«Anno» er tro mot historien
N2330	nyheter	okonomi	Slik kan du få fylt opp sparekontoen
N2331	pluss	nyheter	Dette er Adresseavisens beste bilder fra august
N2332	nyheter	trondheim	Gatelangs på Strinda
N2333	nyheter	nordtrondelag	Vil kreve erstatning etter båtkrasj
N2334	nyheter	trondheim	Dette er de beste bildene fra mai
N2335	nyheter	sortrondelag	- Ingen vil savne deg
N2336	No category	No subcategory	Dette kartet er dårlige nyheter for deg som vil ha hvit jul
N2337	No category	No subcategory	I dag gjør dette korpset noe ingen har gjort før dem
N2338	No category	No subcategory	Det tidligere filmstudioet besto av 29 rom
N2340	nyheter	okonomi	Restaurant på Torvet er slått konkurs
N2341	No category	No subcategory	Afterski med Madcon i Åre
N2342	No category	No subcategory	Dette er de nye reglene for bolig fra 1. januar
N2343	No category	No subcategory	Månedens bilder for juli
N2344	nyheter	okonomi	Enebolig på Kvål mest sett på finn.no
N2345	pluss	nyheter	Slik reagerer bilkunde etter avgiftssjokk på hybrider
N2346	100sport	vintersport	Johaug-suspensjonen forlenges
N2347	nyheter	sortrondelag	Slik kan ny E6 mellom Kvål og Hovin bli
N2348	nyheter	trondheim	Dette er de beste bildene fra juni
N2349	No category	No subcategory	- Det er et fint lite album. Skikkelig fint
N2350	pluss	nyheter	Sender ny milliardregning til bileierne
N2351	pluss	meninger	Bløffen som gir dyrere drivstoff
N2352	100sport	vintersport	Tande har aldri sett forbildet i aksjon: - Fikk høre historiene på museum
N2353	nyheter	okonomi	Hver femte Rema- kjøpmann i minus
N2354	No category	No subcategory	Villmarksmannen Jens (31) feirer jula helt alene i fjellet
N2355	nyheter	trondheim	Sier ja til pol på Heimdal
N2356	No category	No subcategory	Dette er årets mest moderne lamper
N2357	pluss	meninger	Bygdenes by for bønder og byråkrater
N2358	nyheter	nordtrondelag	Kattehotell i særklasse
N2359	No category	No subcategory	Tiltalt for underslag av 16 millioner kroner
N2360	nyheter	trondheim	Bjørndalsbrua blir sikret
N2361	nyheter	sortrondelag	BMW med elbil-sjokk i november
N2362	nyheter	trondheim	Oppsigelser i vente i kirken
N2363	100sport	andreidretter	Quiz: Hvem står bak disse minneverdige sitatene fra 2016?
N2364	tjenester	bildeserier	Her er Adressa-fotografenes beste bilder i mai
N2365	No category	No subcategory	Vasen som får danskene til å gå amok
N2366	100sport	fotball	Lundemo på plass i Trondheim
N2367	nyheter	trondheim	Her er Adressa-fotografenes beste bilder i april
N2368	No category	No subcategory	Sjekk hvilken av de seks julepynt-typene du er
N2369	nyheter	trondheim	- En fantastisk opplevelse
N2370	tjenester	bildeserier	Her er Adressa-fotografenes beste bilder i mars
N2371	forbruker	hjem	De 11 vasketriksene du skulle ønske du hadde visst om før
N2372	pluss	magasin	Renata er en samler. Se hvordan det har formet hjemmet hennes i Verdal.
N2373	nyheter	innenriks	Norwegian refunderte innkrevd flyseteavgift
N2374	nyheter	sortrondelag	Kom deg ut i bakken
N2375	nyheter	trondheim	- Skulle bare tømme bilen for tomflasker
N2376	nyheter	trondheim	- Nå venter vi bare på deg Olav, sånn er det å være den gamle i patruljen
N2377	No category	No subcategory	Da jeg gikk på barneskolen var vi bare tre gutter i klassen som spilte organisert fotball
N2378	No category	No subcategory	Er du hipsteren, minimalisten, den tradisjonelle eller i den moderne, urbane familie?
N2379	nyheter	trondheim	I Trondheim sentrum er det nye regler for hvor lenge du kan stå parkert
N2380	nyheter	innenriks	Når er aller siste frist for å sende årets julegaver?
N2381	pluss	nyheter	App skal fortelle hvordan du skal leve lenger
N2382	100sport	fotball	RBK-spillerne må tåle mer konkurranse
N2383	nyheter	trondheim	NTH-professoren som snøt Hitler for atombomben
N2384	No category	No subcategory	Mercedes går for full elektrifisering
N2385	nyheter	sortrondelag	Vogntog av E6 i Melhus
N2386	nyheter	trondheim	Slik ser det ut i Bymarka
N2387	No category	No subcategory	Ekte vinter med snø og kulde i Trøndelag i fem dager
N2388	No category	No subcategory	Disse deodorantene bør du styre unna
N2389	nyheter	trondheim	Han er politiets poet på Twitter
N2390	No category	No subcategory	Stort skip ødela oppdrettsnot uten å varsle fra
N2391	nyheter	trondheim	Dette beltet skal gjøre hverdagen til eldre tryggere
N2392	100sport	sprek	Kjendisene hjelper deg med treningen: - Lag en avtale du ikke kan bryte
N2393	nyheter	trondheim	Brann på Leangen travbane
N2394	No category	No subcategory	5000 kroner for å se Hawking på festival i Trondheim
N2395	No category	No subcategory	28-åringens hjem er kåret til årets vakreste
N2396	No category	No subcategory	Du vil ha en personlig interiørstil som passer deg, lenge. Hvordan finner du den?
N2397	nyheter	trondheim	- Steinene utgjør en stor risiko for trafikksikkerheten
N2398	No category	No subcategory	Fikset bilen med stokk og sokk
N2399	nyheter	sortrondelag	Slik lager du middag for to personer i syv dager til under 300 kroner
N2400	forbruker	hjem	Hus med sjel og prismer på Spongdal
N2401	pluss	meninger	Hvis Fosen blir én kommune, kan de like gjerne bygge et Brasilia
N2402	nyheter	sortrondelag	Sjekk mistenkelige føflekker uten henvisning fra lege
N2403	nyheter	okonomi	Dette må du gjøre for å søke i skattelistene i år
N2404	No category	No subcategory	Skuespiller Carrie Fisher er død
N2405	nyheter	okonomi	Rema-butikkene blir 1000
N2407	No category	No subcategory	Tesla-eiere klager på for lite hestekrefter
N2408	nyheter	sortrondelag	Kjørte sakte på grunn av dårlig føre på E39
N2409	nyheter	trondheim	Øksemannen hadde planer om å skade
N2410	pluss	nyheter	- Ladbare hybrider må ikke bli en ny «dieselgate»
N2411	nyheter	trondheim	Brann i buss
N2412	nyheter	adressa noogda	Adressa-glimt fra 1977
N2413	No category	No subcategory	Om få dager innføres den nye boliglånsforskriften
N2414	sport	sprek	Kle deg riktig for skituren
N2415	nyheter	nordtrondelag	Skal bidra med 2,3 millioner rognkjeks i kampen mot lakselus
N2416	nyheter	trondheim	Får starte 2017 i sitt eget hjem
N2417	nyheter	trondheim	Trondheim parkering tok raskt grep etter at det kom en klage
N2418	No category	No subcategory	E6 Åsen
N2419	nyheter	trondheim	Disse trondheimsstudentene sliter med å finne bolig
N2420	nyheter	sortrondelag	- Klar, ferdig, fisk!
N2421	nyheter	nordtrondelag	Mann hang fast etter bil i Verdal
N2422	nyheter	sortrondelag	76 drept de siste 30 årene i Trøndelag
N2423	No category	No subcategory	Slik pusser du opp badet uten fliser
N2424	nyheter	okonomi	Posten flytter fra Sluppen
N2425	nyheter	sortrondelag	Adresseavisens beste bilder fra november
N2426	No category	No subcategory	Slik skal du flette i trafikken
N2427	nyheter	sortrondelag	Adresseavisens beste bilder fra oktober
N2428	nyheter	okonomi	Tror de har funnet en mirakelkur mot lakselus
N2429	100sport	sprek	Trondheim maraton legger om løypa etter kritikken
N2430	100sport	fotball	Manchester Uniteds sylfrekke scoring fikk TV 2-kommentatoren til å ta av
N2431	nyheter	trondheim	Seiersbrølet i monsterbakken
N2432	pluss	okonomi	Nå åpner City Syd sin «nye» etasje
N2433	nyheter	sortrondelag	- Smidig russehelg i Åre
N2434	nyheter	trondheim	Spesialenheten skal etterforske politiet
N2435	No category	No subcategory	Åtte spørsmål interiørarkitekten alltid stiller seg før visning
N2436	No category	No subcategory	Kan ha vært påtent
N2437	nyheter	sortrondelag	Frp-topp tar oppgjør med nazirykter
N2438	100sport	fotball	Nå får Ørn-treneren igjen nattesøvnen
N2439	meninger	snakkut	Her er finalistene i 5 rette
N2440	pluss	meninger	Slik bør vi ta vare på fredede bygg
N2441	nyheter	trondheim	Nå skal denne gata få et skikkelig ansiktsløft
N2442	pluss	okonomi	Frykter gammelt boligstrøk på Singsaker raseres av nye boliger
N2443	nyheter	trondheim	Sponset sushi havnet på bursdagsfest
N2444	nyheter	utenriks	Trump fyrer løs mot Kims missilpåstand
N2445	pluss	meninger	I Tyrkia har 2017 startet slik fjoråret sluttet
N2446	No category	No subcategory	Vestre kanalhavn, Trondheim
N2447	No category	No subcategory	Trondheim, fra havna mot Munkholmen
N2448	nyheter	sortrondelag	Han får ansvaret for å ta fartsbøllene i Midt-Norge
N2449	sport	sprek	Det er ikke jern i brunost
N2450	No category	No subcategory	Influensarådene som virker
N2451	No category	No subcategory	Jordmor: For mye kjønnsfokus på ultralyd
N2452	nyheter	innenriks	Hurtigbåten mellom Trondheim og Vanvikan er innstilt
N2453	nyheter	trondheim	Snart kan du se slike isskulpturer i Midtbyen
N2454	nyheter	trondheim	Telefonstorm til politiet etter jordskjelv
N2455	nyheter	sortrondelag	Her skal det bygges 115 kilometer ny vei på E6 i Trøndelag
N2456	nyheter	trondheim	Guttegjeng filmet da en elev ble banket til blods i garderoben
N2457	nyheter	trondheim	Rektor: - Elevene har vært i politiets søkelys tidligere
N2458	No category	No subcategory	Skistua, Trondheim
N2459	No category	No subcategory	E6 Horg
N2460	nyheter	trondheim	Flere elever fra voldsvideo-episode har blitt midlertidig bortvist fra skole
N2461	pluss	nyheter	TrønderTaxi vinner kampen om passasjerene
N2462	nyheter	trondheim	- Jeg reagerte med vantro og sjokk
N2463	No category	No subcategory	Minneord: Jon G. Hofstad
N2464	No category	No subcategory	Minneord: Rolf Johannessen
N2465	nyheter	trondheim	Drosjesjåfør slo alarm etter vold i Trondheim
N2466	nyheter	trondheim	Bilbrann på Klett
N2467	pluss	kultur	Han er pophistoriens største begavelse
N2468	nyheter	sortrondelag	«Det vil ta tid før dere klarer å innrømme at dere har en sønn som er homo.»
N2469	pluss	okonomi	Boligselger må punge ut for å ha krysset av feil om oppussing
N2470	No category	No subcategory	Ungdom dropper TV til fordel for strømming
N2471	nyheter	nordtrondelag	Ordfører Ivar Vigdenes med brakvalg i Stjørdal
N2472	nyheter	trondheim	Derfor står det en klynge med juletrær i vannet ved Solsiden
N2473	nyheter	sortrondelag	Oppdalsmat på TV i USA
N2474	nyheter	nordtrondelag	Sprer voldsvideoer på nett
N2475	nyheter	trondheim	Forbudt å kaste dette i naturen
N2476	100sport	fotball	- Bradley hadde vært et scoop for Norge, men det skjer nok ikke
N2477	No category	No subcategory	Sjekk på visning: - Ikke la deg blende av flott kunst på veggene
N2478	nyheter	trondheim	Ble slått fire ganger i ansiktet mens andre elever sto og filmet
N2479	100sport	fotball	Forren er fortsatt aktuell for Rosenborg
N2480	nyheter	nordtrondelag	- Umulig å åpne flydør i lufta
N2481	nyheter	okonomi	Transportfirma slått konkurs
N2482	nyheter	okonomi	Denne bygården er til salgs for 75 millioner kroner
N2483	pluss	magasin	Test deg selv i vår julequiz - vinn 2500 kroner
N2484	pluss	okonomi	- Det er vanlig å tape på boligsalg i Trondheim
N2485	No category	No subcategory	- Jeg greide ikke å se hele videoen, det berørte meg så «gæli»
N2486	nyheter	okonomi	Finanstilsynet: Vil gjøre det vanskeligere å få boliglån
N2487	No category	No subcategory	En skikkelig stor akevitt
N2488	100sport	vintersport	Nå gjør Niklas Dyrhaug som Justin Bieber
N2489	nyheter	trondheim	Dette er fordelen med å ha kveldsvakt
N2490	nyheter	trondheim	Siste sang for Carl Johan
N2491	nyheter	trondheim	Dette er de beste bildene fra april
N2492	pluss	meninger	Gikk du glipp av romjulssalget? Frykt ikke, tidenes januarsalg er her. Igjen
N2493	No category	No subcategory	- Verdens beste sjokoladekake
N2494	pluss	nyheter	Vemodig å selge familiebedriften som faren grunnla for 79 år siden
N2495	100sport	fotball	Bjørnebye har jaktet ny RBK-midtstopper fra hytta på Trysil
N2496	pluss	nyheter	Mangler trygg skolevei etter 20 års kamp
N2497	nyheter	okonomi	Mathallen med underskudd første halvår
N2498	No category	No subcategory	Ragnhild bestemmer selv
N2499	No category	No subcategory	Minneord: Torleif Engan
N2500	No category	No subcategory	- Jeg er litt allergisk mot fargen eggehvit
N2501	nyheter	nordtrondelag	Seks personer i hus som brant i Verdal
N2502	pluss	nyheter	Ut med Nyfiken, inn med restaurantkjede
N2503	100sport	vintersport	Ett skritt nærmere ny skifest i Granåsen
N2504	No category	No subcategory	E6 Korporal Bru, Sokndal
N2505	nyheter	sortrondelag	Jordras over vei i Melhus
N2506	nyheter	innenriks	NHO vil fjerne mastergrader
N2507	pluss	nyheter	Trondheim Stasjonssenter vil samle alt i ett
N2508	No category	No subcategory	Seltzer fridde til trønderkjæresten
N2509	pluss	kultur	Dette er årets beste bøker
N2510	No category	No subcategory	Millionene fosset inn for Bjørn (42)
N2512	pluss	kultur	Årets morsomste film er tysk
N2513	nyheter	innenriks	Frisør sammenligner hijab med IS-flagg
N2514	No category	No subcategory	- Jeg skal ikke lage mat i mitt eget bryllup
